pm_sensor,pm_ten,pm_two_five,pm_zero_one,pm_date,pm_time
AQ810PM01,23,12,20,2023-05-18,17:15:52
AQ811PM01,19,48,11,2023-03-29,11:51:28
AQ801PM01,18,58,53,2023-05-07,09:37:20
AQ802PM01,43,62,13,2023-02-05,17:12:49
AQ803PM01,17,22,29,2023-04-23,11:09:47
AQ804PM01,38,9,9,2023-05-24,08:04:13
AQ805PM01,38,38,35,2023-06-02,15:35:53
AQ806PM01,30,40,49,2023-01-30,17:24:24
AQ807PM01,23,32,43,2023-03-21,17:14:57
AQ808PM01,9,38,47,2023-03-10,16:22:45
AQ809PM01,30,29,10,2023-03-09,17:57:44
AQ810PM01,25,33,10,2023-04-07,18:51:07
AQ811PM01,26,32,16,2023-03-28,07:15:42
AQ801PM01,30,58,16,2023-04-24,15:54:40
AQ802PM01,16,42,35,2023-01-26,07:10:30
AQ803PM01,39,24,40,2023-02-08,11:32:45
AQ804PM01,34,15,24,2023-03-30,16:42:27
AQ805PM01,28,17,26,2023-04-13,09:17:52
AQ806PM01,43,52,36,2023-04-08,09:50:20
AQ807PM01,13,54,7,2023-03-31,14:36:32
AQ808PM01,23,31,45,2023-03-02,16:49:42
AQ809PM01,28,54,34,2023-03-19,08:06:50
AQ810PM01,39,47,36,2023-02-19,13:20:38
AQ811PM01,8,37,53,2023-02-21,08:57:00
AQ801PM01,17,37,52,2023-04-13,11:25:18
AQ802PM01,37,35,23,2023-03-24,07:38:08
AQ803PM01,24,45,48,2023-06-09,10:58:25
AQ804PM01,22,20,36,2023-01-16,17:27:47
AQ805PM01,38,63,38,2023-05-06,11:30:45
AQ806PM01,23,59,11,2023-04-29,14:13:26
AQ807PM01,25,36,45,2023-05-18,14:53:45
AQ808PM01,8,23,12,2023-03-02,10:14:10
AQ809PM01,21,35,44,2023-02-22,09:15:08
AQ810PM01,10,24,31,2023-04-13,07:15:29
AQ811PM01,12,59,33,2023-01-12,07:51:58
AQ801PM01,6,47,8,2023-03-23,13:01:54
AQ802PM01,13,36,27,2023-03-12,08:29:42
AQ803PM01,32,15,49,2023-05-29,09:27:53
AQ804PM01,38,10,35,2023-03-20,15:53:41
AQ805PM01,26,5,48,2023-04-23,18:07:57
AQ806PM01,19,34,40,2023-01-13,17:55:12
AQ807PM01,24,32,8,2023-02-06,18:53:57
AQ808PM01,36,5,12,2023-04-24,17:55:57
AQ809PM01,11,20,45,2023-03-14,15:32:02
AQ810PM01,23,38,49,2023-05-30,16:56:04
AQ811PM01,5,20,36,2023-04-10,12:40:21
AQ801PM01,42,17,51,2023-04-11,17:47:22
AQ802PM01,38,65,21,2023-01-07,16:42:44
AQ803PM01,27,15,23,2023-05-14,07:08:23
AQ804PM01,43,16,34,2023-01-26,15:57:48
AQ805PM01,6,28,40,2023-03-11,10:53:43
AQ806PM01,26,18,24,2023-04-07,16:02:02
AQ807PM01,23,12,26,2023-04-02,12:10:53
AQ808PM01,24,59,30,2023-05-30,13:20:38
AQ809PM01,35,19,37,2023-05-01,18:24:10
AQ810PM01,21,37,12,2023-03-09,12:43:19
AQ811PM01,33,13,8,2023-05-13,12:47:31
AQ801PM01,28,19,37,2023-05-09,14:46:28
AQ802PM01,27,5,45,2023-01-29,09:18:04
AQ803PM01,26,35,40,2023-02-18,08:03:19
AQ804PM01,14,9,47,2023-02-22,17:14:13
AQ805PM01,23,53,19,2023-03-19,09:18:05
AQ806PM01,7,33,39,2023-02-13,13:15:41
AQ807PM01,38,24,40,2023-01-25,09:00:31
AQ808PM01,38,33,26,2023-02-23,14:38:27
AQ809PM01,17,56,40,2023-06-11,09:41:25
AQ810PM01,28,54,29,2023-04-11,17:00:54
AQ811PM01,31,10,32,2023-03-14,18:19:54
AQ801PM01,23,10,48,2023-02-22,10:20:07
AQ802PM01,27,20,47,2023-03-12,12:16:57
AQ803PM01,14,24,14,2023-04-26,16:42:55
AQ804PM01,13,15,48,2023-01-29,18:48:14
AQ805PM01,23,47,9,2023-01-20,15:15:49
AQ806PM01,42,46,53,2023-06-03,10:32:00
AQ807PM01,29,54,28,2023-06-01,07:37:13
AQ808PM01,27,24,23,2023-03-29,14:21:04
AQ809PM01,14,51,45,2023-02-26,14:16:49
AQ810PM01,20,61,14,2023-05-08,09:05:58
AQ811PM01,15,16,10,2023-04-20,13:14:06
AQ801PM01,10,25,10,2023-05-15,13:57:31
AQ802PM01,15,61,19,2023-04-07,11:38:42
AQ803PM01,33,63,16,2023-06-01,09:14:52
AQ804PM01,15,46,19,2023-05-04,10:31:46
AQ805PM01,8,56,25,2023-05-02,17:49:56
AQ806PM01,30,6,32,2023-05-12,16:32:10
AQ807PM01,37,10,26,2023-02-13,17:15:33
AQ808PM01,16,45,41,2023-03-15,17:47:59
AQ809PM01,26,10,41,2023-01-17,08:05:43
AQ810PM01,17,24,25,2023-02-22,08:54:12
AQ811PM01,36,28,40,2023-02-05,12:31:59
AQ801PM01,32,13,32,2023-02-09,11:03:03
AQ802PM01,26,15,45,2023-05-18,08:17:38
AQ803PM01,19,24,23,2023-05-30,15:26:57
AQ804PM01,8,48,9,2023-03-12,12:45:52
AQ805PM01,9,13,24,2023-04-24,17:38:14
AQ806PM01,36,57,20,2023-05-23,09:55:04
AQ807PM01,27,43,5,2023-04-01,11:09:05
AQ808PM01,20,10,43,2023-03-25,14:38:01
AQ809PM01,7,53,46,2023-02-02,15:24:16
AQ810PM01,15,18,48,2023-01-31,18:58:35
AQ811PM01,13,7,21,2023-01-09,07:53:42
AQ801PM01,35,21,33,2023-03-11,08:01:08
AQ802PM01,40,12,22,2023-05-04,17:38:01
AQ803PM01,29,21,14,2023-02-21,14:29:32
AQ804PM01,31,57,28,2023-01-04,14:17:09
AQ805PM01,5,30,13,2023-03-19,09:18:53
AQ806PM01,19,18,20,2023-05-17,09:06:29
AQ807PM01,39,49,19,2023-04-22,08:15:35
AQ808PM01,17,57,52,2023-04-01,14:38:42
AQ809PM01,28,30,11,2023-06-07,07:28:15
AQ810PM01,6,12,43,2023-04-21,14:26:12
AQ811PM01,42,9,12,2023-01-11,08:16:03
AQ801PM01,9,61,51,2023-01-14,18:31:55
AQ802PM01,12,62,39,2023-03-07,12:16:51
AQ803PM01,13,43,51,2023-05-05,08:09:51
AQ804PM01,37,21,10,2023-01-13,09:58:05
AQ805PM01,32,49,48,2023-02-28,13:16:10
AQ806PM01,25,18,32,2023-01-04,09:39:43
AQ807PM01,21,26,18,2023-02-16,11:14:30
AQ808PM01,35,14,25,2023-03-27,08:04:25
AQ809PM01,30,23,33,2023-01-16,10:50:36
AQ810PM01,36,16,24,2023-05-31,10:47:50
AQ811PM01,38,61,27,2023-02-26,17:34:45
AQ801PM01,5,41,26,2023-03-05,17:32:33
AQ802PM01,18,38,20,2023-02-24,08:10:09
AQ803PM01,41,27,46,2023-03-21,14:40:48
AQ804PM01,39,60,20,2023-03-28,13:34:54
AQ805PM01,8,25,34,2023-02-04,08:35:46
AQ806PM01,30,38,30,2023-05-19,09:51:40
AQ807PM01,42,12,29,2023-02-18,15:56:36
AQ808PM01,13,27,44,2023-05-17,09:27:18
AQ809PM01,22,5,24,2023-03-23,18:47:58
AQ810PM01,38,59,26,2023-04-10,08:53:57
AQ811PM01,7,56,9,2023-01-02,13:06:02
AQ801PM01,34,36,52,2023-02-09,12:51:14
AQ802PM01,25,20,38,2023-03-12,10:22:43
AQ803PM01,40,32,19,2023-04-10,10:06:36
AQ804PM01,16,34,49,2023-04-01,08:46:42
AQ805PM01,7,48,22,2023-05-28,16:37:39
AQ806PM01,12,8,33,2023-01-27,12:18:31
AQ807PM01,27,42,28,2023-04-04,16:57:47
AQ808PM01,9,16,21,2023-01-20,11:21:47
AQ809PM01,20,56,47,2023-02-05,11:38:35
AQ810PM01,33,39,45,2023-02-28,07:53:44
AQ811PM01,15,17,7,2023-06-03,11:59:00
AQ801PM01,38,44,27,2023-05-04,17:28:45
AQ802PM01,11,60,9,2023-05-07,09:59:48
AQ803PM01,20,31,31,2023-03-29,07:30:56
AQ804PM01,29,52,24,2023-02-26,18:50:19
AQ805PM01,12,32,12,2023-03-22,18:52:31
AQ806PM01,7,5,10,2023-05-01,13:01:05
AQ807PM01,18,44,29,2023-05-29,08:04:31
AQ808PM01,32,55,5,2023-02-15,09:47:12
AQ809PM01,9,41,22,2023-04-07,15:58:50
AQ810PM01,34,25,40,2023-06-09,08:16:36
AQ811PM01,31,7,51,2023-05-06,09:32:32
AQ801PM01,43,21,34,2023-05-02,10:39:39
AQ802PM01,39,18,46,2023-02-07,09:52:27
AQ803PM01,14,12,31,2023-05-28,14:22:10
AQ804PM01,25,16,10,2023-01-27,13:45:52
AQ805PM01,9,16,24,2023-05-14,10:36:46
AQ806PM01,11,9,52,2023-01-24,12:06:44
AQ807PM01,42,56,53,2023-02-25,08:12:21
AQ808PM01,43,26,32,2023-04-04,14:48:27
AQ809PM01,25,27,15,2023-03-07,08:33:44
AQ810PM01,17,30,15,2023-05-25,15:10:42
AQ811PM01,5,46,28,2023-05-08,11:51:15
AQ801PM01,39,52,32,2023-02-07,14:40:01
AQ802PM01,15,57,16,2023-01-07,14:50:19
AQ803PM01,38,35,45,2023-02-26,07:39:01
AQ804PM01,19,25,50,2023-04-22,07:58:17
AQ805PM01,23,14,49,2023-03-08,17:53:01
AQ806PM01,40,25,26,2023-02-09,16:36:04
AQ807PM01,21,44,21,2023-03-11,12:36:05
AQ808PM01,39,15,45,2023-05-29,14:09:39
AQ809PM01,25,24,20,2023-04-08,12:24:48
AQ810PM01,41,39,45,2023-02-01,17:14:46
AQ811PM01,14,53,32,2023-04-18,16:26:59
AQ801PM01,33,48,22,2023-01-04,13:26:25
AQ802PM01,19,30,27,2023-03-02,08:45:41
AQ803PM01,17,8,33,2023-04-15,17:22:30
AQ804PM01,21,22,5,2023-03-09,14:02:25
AQ805PM01,11,55,11,2023-02-06,10:01:46
AQ806PM01,11,54,8,2023-03-04,12:53:09
AQ807PM01,16,14,31,2023-01-03,15:14:07
AQ808PM01,22,50,28,2023-02-26,16:33:44
AQ809PM01,39,10,5,2023-02-08,15:49:22
AQ810PM01,22,18,45,2023-05-11,11:19:49
AQ811PM01,41,51,21,2023-04-12,16:39:34
AQ801PM01,27,13,30,2023-04-24,13:21:03
AQ802PM01,7,65,22,2023-01-27,12:58:35
AQ803PM01,14,34,11,2023-04-24,07:47:54
AQ804PM01,26,24,37,2023-04-13,11:20:47
AQ805PM01,38,6,38,2023-03-11,07:08:07
AQ806PM01,26,34,8,2023-06-02,17:31:15
AQ807PM01,39,29,44,2023-03-15,10:46:10
AQ808PM01,18,22,23,2023-05-05,11:37:40
AQ809PM01,17,41,34,2023-05-12,15:40:21
AQ810PM01,20,53,52,2023-04-08,14:20:15
AQ811PM01,38,54,39,2023-03-20,13:52:23
AQ801PM01,27,24,35,2023-01-12,07:55:43
AQ802PM01,14,26,23,2023-01-13,10:54:06
AQ803PM01,43,34,16,2023-05-30,09:23:01
AQ804PM01,29,43,33,2023-05-27,11:44:44
AQ805PM01,5,17,33,2023-03-27,15:38:39
AQ806PM01,29,24,33,2023-05-08,07:29:20
AQ807PM01,24,21,47,2023-02-21,07:59:53
AQ808PM01,33,44,23,2023-01-12,16:10:00
AQ809PM01,42,65,17,2023-03-13,13:11:01
AQ810PM01,16,27,50,2023-03-04,12:54:27
AQ811PM01,18,46,23,2023-03-21,12:32:34
AQ801PM01,38,36,39,2023-03-29,12:01:34
AQ802PM01,22,8,5,2023-05-25,16:28:43
AQ803PM01,42,19,45,2023-01-10,14:23:33
AQ804PM01,33,25,16,2023-02-18,13:36:27
AQ805PM01,40,18,9,2023-05-25,10:14:02
AQ806PM01,34,15,24,2023-05-02,18:49:49
AQ807PM01,11,6,18,2023-05-28,18:54:54
AQ808PM01,34,28,45,2023-03-20,09:17:46
AQ809PM01,38,59,13,2023-05-24,15:20:44
AQ810PM01,15,24,21,2023-02-08,08:20:26
AQ811PM01,42,58,19,2023-06-04,09:30:38
AQ801PM01,39,14,47,2023-05-11,17:40:17
AQ802PM01,8,28,25,2023-05-05,16:11:50
AQ803PM01,14,40,52,2023-01-20,10:15:10
AQ804PM01,40,27,13,2023-03-03,16:16:52
AQ805PM01,14,34,10,2023-05-05,16:18:25
AQ806PM01,37,48,29,2023-03-08,14:26:16
AQ807PM01,28,58,25,2023-05-18,13:01:18
AQ808PM01,41,11,29,2023-02-09,12:39:58
AQ809PM01,42,26,50,2023-05-11,12:28:36
AQ810PM01,8,57,26,2023-01-12,16:16:51
AQ811PM01,10,47,21,2023-03-19,11:35:30
AQ801PM01,35,11,38,2023-04-13,16:18:30
AQ802PM01,27,60,47,2023-02-16,08:01:19
AQ803PM01,15,16,35,2023-01-29,13:22:24
AQ804PM01,37,31,53,2023-04-13,15:22:59
AQ805PM01,13,51,8,2023-03-01,15:08:14
AQ806PM01,12,7,30,2023-02-07,10:08:24
AQ807PM01,5,18,13,2023-04-11,11:22:15
AQ808PM01,34,16,51,2023-02-03,17:17:55
AQ809PM01,38,14,46,2023-02-27,11:34:39
AQ810PM01,10,28,18,2023-04-03,12:17:58
AQ811PM01,40,34,40,2023-03-28,08:26:02
AQ801PM01,24,41,33,2023-04-27,16:54:16
AQ802PM01,27,55,40,2023-04-01,18:23:36
AQ803PM01,13,27,6,2023-05-05,13:03:21
AQ804PM01,13,10,37,2023-04-07,18:45:30
AQ805PM01,31,58,16,2023-02-12,08:54:06
AQ806PM01,7,58,5,2023-04-03,11:37:06
AQ807PM01,12,6,37,2023-01-26,17:40:44
AQ808PM01,27,54,18,2023-01-13,08:28:06
AQ809PM01,40,20,47,2023-01-22,12:39:14
AQ810PM01,42,47,36,2023-03-08,16:00:11
AQ811PM01,41,13,18,2023-05-22,13:11:11
AQ801PM01,11,60,23,2023-05-07,18:45:47
AQ802PM01,23,43,15,2023-02-02,12:30:24
AQ803PM01,22,24,32,2023-05-22,15:16:15
AQ804PM01,37,45,19,2023-03-04,09:11:21
AQ805PM01,14,48,19,2023-04-11,12:18:28
AQ806PM01,29,41,14,2023-02-17,18:11:31
AQ807PM01,38,19,27,2023-03-14,12:52:13
AQ808PM01,35,23,31,2023-05-20,16:48:40
AQ809PM01,19,44,8,2023-05-18,14:56:12
AQ810PM01,37,23,32,2023-03-13,16:45:37
AQ811PM01,14,17,14,2023-02-17,07:04:09
AQ801PM01,25,46,21,2023-04-26,13:50:43
AQ802PM01,15,26,33,2023-01-25,07:51:44
AQ803PM01,29,34,13,2023-05-06,13:56:50
AQ804PM01,6,5,46,2023-01-08,18:05:05
AQ805PM01,37,57,25,2023-01-21,16:36:44
AQ806PM01,13,39,30,2023-03-30,18:26:22
AQ807PM01,10,57,20,2023-01-25,11:11:39
AQ808PM01,15,35,37,2023-03-20,15:11:08
AQ809PM01,18,39,22,2023-03-01,10:27:00
AQ810PM01,9,28,17,2023-06-10,10:30:30
AQ811PM01,11,48,44,2023-05-01,13:54:29
AQ801PM01,30,11,11,2023-03-27,07:41:09
AQ802PM01,9,49,8,2023-05-01,08:53:19
AQ803PM01,5,16,34,2023-05-30,09:31:41
AQ804PM01,19,64,28,2023-02-01,07:05:40
AQ805PM01,40,59,23,2023-04-27,10:27:59
AQ806PM01,36,14,18,2023-02-02,10:05:29
AQ807PM01,17,47,12,2023-05-21,17:49:27
AQ808PM01,43,59,15,2023-03-20,14:54:01
AQ809PM01,18,11,8,2023-04-22,18:26:52
AQ810PM01,16,7,48,2023-01-02,13:27:22
AQ811PM01,29,58,7,2023-05-16,17:31:10
AQ801PM01,15,20,31,2023-06-07,18:50:08
AQ802PM01,19,36,39,2023-01-23,16:53:27
AQ803PM01,43,36,47,2023-02-19,11:46:41
AQ804PM01,17,59,26,2023-01-22,13:40:17
AQ805PM01,15,7,33,2023-04-30,16:09:32
AQ806PM01,20,20,50,2023-03-22,10:04:24
AQ807PM01,28,5,25,2023-01-18,16:06:05
AQ808PM01,39,11,35,2023-02-08,12:18:35
AQ809PM01,32,45,38,2023-03-13,15:57:08
AQ810PM01,36,57,26,2023-05-15,16:38:19
AQ811PM01,12,13,15,2023-02-10,11:41:24
AQ801PM01,5,65,42,2023-06-06,11:05:54
AQ802PM01,31,28,32,2023-05-15,15:11:29
AQ803PM01,17,62,25,2023-02-20,09:27:56
AQ804PM01,43,37,26,2023-02-05,12:38:35
AQ805PM01,9,15,33,2023-04-23,08:22:30
AQ806PM01,12,21,31,2023-03-22,14:28:36
AQ807PM01,29,17,51,2023-01-02,18:27:12
AQ808PM01,22,43,21,2023-05-27,13:21:04
AQ809PM01,26,41,14,2023-04-25,17:45:17
AQ810PM01,28,64,11,2023-04-29,13:34:17
AQ811PM01,41,11,19,2023-03-01,14:58:36
AQ801PM01,26,44,21,2023-04-12,13:08:11
AQ802PM01,35,62,17,2023-06-09,17:51:43
AQ803PM01,27,42,21,2023-05-23,07:08:50
AQ804PM01,9,20,15,2023-06-07,10:05:22
AQ805PM01,23,28,24,2023-04-10,14:09:53
AQ806PM01,28,36,18,2023-02-15,11:41:29
AQ807PM01,35,18,33,2023-06-07,13:54:44
AQ808PM01,21,57,40,2023-06-02,07:03:11
AQ809PM01,10,22,36,2023-02-11,14:47:06
AQ810PM01,42,10,6,2023-01-27,08:20:47
AQ811PM01,10,39,51,2023-03-23,18:15:48
AQ801PM01,26,56,51,2023-04-04,11:29:20
AQ802PM01,7,8,34,2023-05-28,16:35:07
AQ803PM01,11,30,13,2023-04-08,10:41:14
AQ804PM01,38,40,42,2023-03-17,09:30:09
AQ805PM01,22,64,9,2023-04-01,18:20:02
AQ806PM01,36,47,52,2023-01-01,12:11:25
AQ807PM01,26,24,7,2023-05-14,08:41:21
AQ808PM01,16,26,52,2023-04-16,10:31:53
AQ809PM01,19,20,38,2023-05-22,13:17:42
AQ810PM01,16,32,33,2023-03-16,10:23:32
AQ811PM01,43,5,9,2023-06-06,09:12:35
AQ801PM01,9,15,25,2023-04-11,18:15:38
AQ802PM01,14,63,47,2023-06-10,16:31:58
AQ803PM01,42,44,15,2023-01-02,18:26:56
AQ804PM01,39,59,19,2023-04-16,12:08:11
AQ805PM01,8,15,48,2023-02-28,08:18:54
AQ806PM01,21,27,35,2023-05-03,18:51:10
AQ807PM01,25,7,25,2023-03-21,12:39:27
AQ808PM01,16,55,14,2023-04-13,08:13:36
AQ809PM01,25,65,15,2023-01-07,11:46:09
AQ810PM01,20,42,43,2023-03-23,14:45:35
AQ811PM01,30,16,39,2023-05-21,08:25:41
AQ801PM01,36,8,14,2023-05-27,11:58:32
AQ802PM01,14,32,9,2023-03-27,15:08:07
AQ803PM01,25,19,42,2023-06-07,18:31:51
AQ804PM01,34,44,42,2023-03-13,07:51:27
AQ805PM01,16,42,6,2023-03-02,15:54:24
AQ806PM01,33,24,10,2023-02-05,09:49:03
AQ807PM01,25,10,35,2023-05-23,15:45:25
AQ808PM01,37,44,13,2023-01-06,09:24:13
AQ809PM01,34,30,46,2023-01-23,08:05:50
AQ810PM01,23,61,38,2023-01-29,07:40:34
AQ811PM01,32,48,22,2023-05-01,10:18:57
AQ801PM01,19,21,14,2023-06-03,12:29:11
AQ802PM01,29,52,12,2023-01-22,14:55:32
AQ803PM01,5,34,48,2023-02-19,10:02:40
AQ804PM01,27,59,23,2023-01-14,10:50:10
AQ805PM01,16,26,41,2023-04-20,17:06:24
AQ806PM01,29,30,12,2023-02-08,14:53:21
AQ807PM01,24,56,42,2023-05-10,10:51:55
AQ808PM01,40,39,19,2023-03-23,17:22:53
AQ809PM01,32,19,31,2023-02-21,18:08:43
AQ810PM01,32,48,24,2023-05-24,16:16:21
AQ811PM01,13,64,8,2023-03-08,08:27:02
AQ801PM01,31,16,49,2023-03-16,07:21:00
AQ802PM01,25,50,29,2023-05-29,15:43:27
AQ803PM01,19,51,24,2023-03-27,16:27:07
AQ804PM01,42,7,32,2023-01-14,14:37:32
AQ805PM01,9,8,31,2023-03-27,08:29:27
AQ806PM01,32,29,35,2023-03-25,10:17:06
AQ807PM01,13,19,44,2023-05-06,12:00:16
AQ808PM01,25,61,42,2023-06-04,11:32:41
AQ809PM01,9,5,29,2023-02-02,16:00:35
AQ810PM01,11,6,27,2023-01-11,11:34:05
AQ811PM01,7,25,41,2023-02-01,17:45:54
AQ801PM01,28,53,26,2023-05-24,16:04:31
AQ802PM01,26,34,5,2023-04-18,13:26:43
AQ803PM01,19,52,7,2023-01-31,12:12:02
AQ804PM01,16,38,32,2023-03-04,10:24:54
AQ805PM01,36,5,41,2023-02-08,17:59:16
AQ806PM01,20,60,28,2023-04-21,09:50:16
AQ807PM01,19,52,24,2023-01-09,15:06:25
AQ808PM01,42,32,25,2023-05-13,14:01:50
AQ809PM01,5,65,17,2023-04-05,13:55:35
AQ810PM01,18,51,13,2023-03-03,11:01:42
AQ811PM01,26,61,40,2023-02-14,11:07:42
AQ801PM01,9,15,30,2023-01-18,18:28:00
AQ802PM01,22,15,38,2023-02-18,14:31:44
AQ803PM01,14,61,37,2023-02-12,14:37:54
AQ804PM01,36,22,36,2023-05-27,15:07:22
AQ805PM01,22,27,45,2023-06-09,16:15:03
AQ806PM01,11,19,48,2023-03-21,15:47:25
AQ807PM01,32,58,24,2023-03-25,08:40:29
AQ808PM01,11,33,42,2023-04-03,10:00:38
AQ809PM01,32,49,42,2023-04-30,16:42:07
AQ810PM01,21,39,20,2023-01-16,11:45:51
AQ811PM01,41,51,10,2023-02-19,14:34:33
AQ801PM01,24,56,49,2023-06-05,10:41:32
AQ802PM01,17,25,42,2023-01-15,18:25:54
AQ803PM01,9,51,47,2023-04-06,17:51:50
AQ804PM01,39,38,7,2023-01-05,14:52:35
AQ805PM01,31,54,11,2023-04-08,10:32:44
AQ806PM01,7,27,13,2023-05-07,14:52:05
AQ807PM01,13,46,11,2023-06-04,14:50:55
AQ808PM01,43,16,46,2023-03-05,07:28:52
AQ809PM01,11,55,34,2023-01-13,10:36:55
AQ810PM01,34,40,10,2023-03-02,10:32:16
AQ811PM01,39,41,22,2023-04-02,14:01:55
AQ801PM01,5,11,15,2023-05-30,07:53:37
AQ802PM01,40,52,16,2023-01-02,13:40:35
AQ803PM01,8,35,8,2023-04-17,08:43:13
AQ804PM01,39,44,29,2023-01-11,07:59:57
AQ805PM01,38,50,47,2023-05-17,16:38:07
AQ806PM01,20,12,23,2023-05-16,13:08:13
AQ807PM01,41,38,19,2023-04-24,08:48:50
AQ808PM01,5,36,15,2023-06-11,18:42:13
AQ809PM01,42,19,25,2023-04-01,08:43:58
AQ810PM01,29,17,53,2023-03-06,18:25:19
AQ811PM01,37,31,15,2023-02-05,17:18:39
AQ801PM01,27,50,37,2023-04-18,14:22:39
AQ802PM01,40,45,51,2023-05-08,18:50:00
AQ803PM01,39,17,7,2023-02-11,14:13:30
AQ804PM01,39,11,30,2023-04-21,18:40:27
AQ805PM01,20,33,14,2023-05-20,07:46:17
AQ806PM01,17,52,11,2023-04-02,08:27:05
AQ807PM01,10,44,44,2023-04-24,14:52:36
AQ808PM01,19,33,39,2023-02-13,09:59:57
AQ809PM01,17,37,23,2023-05-01,09:43:52
AQ810PM01,23,21,35,2023-01-23,14:35:16
AQ811PM01,13,29,48,2023-02-03,12:05:04
AQ801PM01,41,61,49,2023-05-17,09:35:52
AQ802PM01,37,64,19,2023-06-09,15:06:21
AQ803PM01,34,50,43,2023-04-25,08:29:12
AQ804PM01,18,56,25,2023-02-14,16:07:37
AQ805PM01,25,59,31,2023-02-11,15:48:43
AQ806PM01,13,6,52,2023-04-04,14:00:26
AQ807PM01,11,42,35,2023-05-19,09:50:48
AQ808PM01,6,25,36,2023-03-24,07:54:13
AQ809PM01,38,49,7,2023-01-20,16:00:22
AQ810PM01,13,7,43,2023-05-22,15:53:09
AQ811PM01,29,12,25,2023-06-04,14:21:55
AQ801PM01,39,52,5,2023-02-26,14:49:57
AQ802PM01,7,50,12,2023-03-09,18:16:14
AQ803PM01,19,9,42,2023-04-17,08:51:01
AQ804PM01,7,7,13,2023-01-20,16:23:58
AQ805PM01,30,61,47,2023-05-02,15:32:34
AQ806PM01,9,5,8,2023-03-10,15:35:49
AQ807PM01,26,44,10,2023-05-21,08:08:08
AQ808PM01,9,5,19,2023-05-11,09:12:03
AQ809PM01,31,8,12,2023-04-19,09:54:15
AQ810PM01,25,24,46,2023-03-22,11:00:14
AQ811PM01,38,33,21,2023-04-17,07:08:59
AQ801PM01,22,29,23,2023-04-01,16:35:11
AQ802PM01,18,9,16,2023-03-04,09:17:14
AQ803PM01,40,51,15,2023-03-27,15:01:18
AQ804PM01,14,22,51,2023-01-19,12:46:12
AQ805PM01,13,46,31,2023-05-24,12:14:25
AQ806PM01,39,14,12,2023-04-15,16:01:13
AQ807PM01,12,49,31,2023-01-31,15:07:54
AQ808PM01,17,52,20,2023-01-04,07:27:22
AQ809PM01,36,39,47,2023-04-25,11:31:41
AQ810PM01,24,9,48,2023-02-19,13:33:51
AQ811PM01,37,42,9,2023-05-23,17:06:20
AQ801PM01,31,25,52,2023-01-19,16:12:56
AQ802PM01,15,44,23,2023-05-17,17:29:53
AQ803PM01,31,8,42,2023-04-16,11:46:21
AQ804PM01,43,16,51,2023-01-12,10:09:18
AQ805PM01,18,47,19,2023-01-29,08:51:08
AQ806PM01,7,58,18,2023-04-18,08:10:56
AQ807PM01,43,63,10,2023-01-10,13:13:56
AQ808PM01,7,50,9,2023-01-01,08:05:52
AQ809PM01,34,29,23,2023-01-10,17:37:08
AQ810PM01,34,45,42,2023-03-07,14:08:30
AQ811PM01,19,25,52,2023-01-01,08:27:38
AQ801PM01,13,46,20,2023-03-03,07:24:50
AQ802PM01,34,64,38,2023-03-27,12:28:25
AQ803PM01,9,38,8,2023-03-26,14:21:03
AQ804PM01,32,8,41,2023-04-25,10:06:33
AQ805PM01,10,13,12,2023-06-10,14:31:22
AQ806PM01,22,37,10,2023-04-01,11:37:56
AQ807PM01,18,49,45,2023-01-30,17:43:00
AQ808PM01,38,63,12,2023-06-01,12:23:51
AQ809PM01,9,65,40,2023-01-27,10:48:48
AQ810PM01,17,14,48,2023-02-07,13:38:09
AQ811PM01,14,6,23,2023-02-24,10:48:48
